Region,지역,하위 지역,OSM (ha),Criteria (ha),Percentage
Gangwon,강원,삼척시,229,4107,5.58%
Jeonbuk,전북,완주군,589,10689,5.51%
Gyeonggi,경기,용인시,393,7351,5.35%
Gyeongbuk,경북,영천시,689,12983,5.31%
Gyeongbuk,경북,청도군,479,9349,5.13%
Jeonnam,전남,진도군,544,10728,5.07%
Jeonnam,전남,목포시,21,431,4.91%
Gyeongnam,경남,사천시,325,7096,4.58%
Chungbuk,충북,제천시,366,8177,4.48%
Gyeongbuk,경북,문경시,477,10648,4.48%
Gangwon,강원,화천군,102,2805,3.65%
Jeonnam,전남,광양시,172,4750,3.62%
Gyeonggi,경기,양평군,256,7110,3.61%
Gyeonggi,경기,과천시,7,199,3.49%
Gyeongbuk,경북,울진군,150,4346,3.45%
Gyeonggi,경기,광주시,75,2216,3.37%
Gangwon,강원,영월군,189,5882,3.21%
Chungnam,충남,금산군,177,6789,2.61%
Gyeonggi,경기,가평군,70,2809,2.49%
Gangwon,강원,홍천군,277,11189,2.48%
Chungbuk,충북,음성군,283,11582,2.45%
Gyeonggi,경기,안양시,1,30,2.30%
Gyeongnam,경남,통영시,38,1775,2.16%
Chungbuk,충북,괴산군,220,10286,2.14%
Jeonbuk,전북,순창군,181,9650,1.88%
Chungbuk,충북,단양군,81,4390,1.84%
Jeonbuk,전북,고창군,415,23660,1.75%
Chungbuk,충북,영동군,141,8559,1.65%
Gyeonggi,경기,군포시,4,233,1.62%
Jeonbuk,전북,진안군,108,6990,1.54%
Gyeonggi,경기,구리시,3,244,1.42%
Daejeon,대전,평균,53,3961,1.33%
Gyeongbuk,경북,봉화군,136,10679,1.27%
Gyeongnam,경남,남해군,58,5332,1.09%
Gangwon,강원,평창군,109,10029,1.09%
Gangwon,강원,횡성군,90,9491,0.95%
Gangwon,강원,정선군,72,7747,0.93%
Gangwon,강원,춘천시,44,5902,0.75%
Busan,부산,기장군,7,1142,0.58%
Jeju,제주,평균,174,56355,0.31%
Chungnam,충남,계룡시,1,363,0.22%
Gyeonggi,경기,동두천시,1,409,0.20%
Jeonbuk,전북,무주군,7,4988,0.14%
Gyeongbuk,경북,청송군,10,7419,0.14%
Gyeongbuk,경북,영주시,14,12929,0.11%
Gangwon,강원,동해시,1,813,0.09%
Gangwon,강원,인제군,2,3610,0.06%
Gyeongbuk,경북,군위군,2,6959,0.02%
Gangwon,강원,태백시,0,1248,0.00%
Jeonbuk,전북,장수군,0,6737,0.00%
Jeonbuk,전북,임실군,0,7177,0.00%
Gyeongbuk,경북,영양군,0,5725,0.00%
Gyeongbuk,경북,영덕군,0,5434,0.00%
