Region,지역,OSM,Criteria,Percentage
Seoul,서울,100409,585636,17.15%
Busan,부산,23524,352894,6.67%
Daegu,대구,10825,240513,4.50%
Incheon,인천,27723,219832,12.61%
Gwangju,광주,27928,138328,20.19%
Daejeon,대전,12711,132169,9.62%
Ulsan,울산,14123,137792,10.25%
Gyeonggi,경기,203505,1230057,16.54%
Sejong,세종,5007,35159,14.24%
Gangwon,강원,24173,428405,5.64%
Chungbuk,충북,21210,400386,5.30%
Chungnam,충남,23541,553811,4.25%
Jeonbuk,전북,44610,461109,9.67%
Jeonnam,전남,22115,657391,3.36%
Gyeongbuk,경북,23484,832707,2.82%
Gyeongnam,경남,67760,724124,9.36%
Jeju,제주,11967,183951,6.51%
sum,합계,664615,7314264,9.09%
