Region,지역,OSM,Criteria,Percentage
Seoul,서울,106507,585636,18.19%
Busan,부산,25391,352894,7.20%
Daegu,대구,11835,240513,4.92%
Incheon,인천,28543,219832,12.98%
Gwangju,광주,33486,138328,24.21%
Daejeon,대전,12886,132169,9.75%
Ulsan,울산,14141,137792,10.26%
Gyeonggi,경기,210484,1230057,17.11%
Sejong,세종,5319,35159,15.13%
Gangwon,강원,24399,428405,5.70%
Chungbuk,충북,21311,400386,5.32%
Chungnam,충남,24210,553811,4.37%
Jeonbuk,전북,46140,461109,10.01%
Jeonnam,전남,22264,657391,3.39%
Gyeongbuk,경북,24479,832707,2.94%
Gyeongnam,경남,67963,724124,9.39%
Jeju,제주,12877,183951,7.00%
sum,합계,692235,7314264,9.46%
