Region,지역,OSM,Criteria,Percentage
Seoul,서울,114043,585636,19.47%
Busan,부산,25731,352894,7.29%
Daegu,대구,11926,240513,4.96%
Incheon,인천,28905,219832,13.15%
Gwangju,광주,34493,138328,24.94%
Daejeon,대전,13123,132169,9.93%
Ulsan,울산,14911,137792,10.82%
Gyeonggi,경기,215086,1230057,17.49%
Sejong,세종,6563,35159,18.67%
Gangwon,강원,25201,428405,5.88%
Chungbuk,충북,21543,400386,5.38%
Chungnam,충남,25027,553811,4.52%
Jeonbuk,전북,47532,461109,10.31%
Jeonnam,전남,22302,657391,3.39%
Gyeongbuk,경북,25185,832707,3.02%
Gyeongnam,경남,69556,724124,9.61%
Jeju,제주,15433,183951,8.39%
sum,합계,716560,7314264,9.80%
